,Unnamed: 0,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes,Year,Month,Association,Start (ET)
60,60,1995-05-26,San Antonio Spurs,107,Houston Rockets,102,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,5,NBA,
61,61,1995-05-27,Orlando Magic,100,Indiana Pacers,105,Box Score,https://www.basketball-reference.com/boxscores/,"16,477",,1995,5,NBA,
62,62,1995-05-28,San Antonio Spurs,103,Houston Rockets,81,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,5,NBA,
63,63,1995-05-29,Orlando Magic,93,Indiana Pacers,94,Box Score,https://www.basketball-reference.com/boxscores/,"16,477",,1995,5,NBA,
64,64,1995-05-30,Houston Rockets,111,San Antonio Spurs,90,Box Score,https://www.basketball-reference.com/boxscores/,"35,888",,1995,5,NBA,
65,65,1995-05-31,Indiana Pacers,106,Orlando Magic,108,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,5,NBA,
66,66,1995-06-01,San Antonio Spurs,95,Houston Rockets,100,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,6,NBA,
67,67,1995-06-02,Orlando Magic,96,Indiana Pacers,123,Box Score,https://www.basketball-reference.com/boxscores/,"16,477",,1995,6,NBA,
68,68,1995-06-04,Indiana Pacers,81,Orlando Magic,105,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,6,NBA,
69,69,1995-06-07,Houston Rockets,120,Orlando Magic,118,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,6,NBA,
70,70,1995-06-09,Houston Rockets,117,Orlando Magic,106,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,6,NBA,
71,71,1995-06-11,Orlando Magic,103,Houston Rockets,106,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,6,NBA,
72,72,1995-06-14,Orlando Magic,101,Houston Rockets,113,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1995,6,NBA,
73,0,1996-04-25,New York Knicks,106,Cleveland Cavaliers,83,Box Score,https://www.basketball-reference.com/boxscores/,"16,419",,1996,4,NBA,
74,1,1996-04-25,Atlanta Hawks,92,Indiana Pacers,80,Box Score,https://www.basketball-reference.com/boxscores/,"16,438",,1996,4,NBA,
75,2,1996-04-25,Houston Rockets,87,Los Angeles Lakers,83,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1996,4,NBA,
76,3,1996-04-25,Portland Trail Blazers,102,Utah Jazz,110,Box Score,https://www.basketball-reference.com/boxscores/,"19,614",,1996,4,NBA,
77,4,1996-04-26,Sacramento Kings,85,Seattle SuperSonics,97,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,4,NBA,
78,5,1996-04-26,Phoenix Suns,98,San Antonio Spurs,120,Box Score,https://www.basketball-reference.com/boxscores/,"16,545",,1996,4,NBA,
79,6,1996-04-26,Detroit Pistons,92,Orlando Magic,112,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,4,NBA,
80,7,1996-04-26,Miami Heat,85,Chicago Bulls,102,Box Score,https://www.basketball-reference.com/boxscores/,"24,104",,1996,4,NBA,
81,8,1996-04-27,Portland Trail Blazers,90,Utah Jazz,105,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,4,NBA,
82,9,1996-04-27,Houston Rockets,94,Los Angeles Lakers,104,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1996,4,NBA,
83,10,1996-04-27,Atlanta Hawks,94,Indiana Pacers,102,Box Score,https://www.basketball-reference.com/boxscores/,"16,709",,1996,4,NBA,
84,11,1996-04-27,New York Knicks,84,Cleveland Cavaliers,80,Box Score,https://www.basketball-reference.com/boxscores/,"17,232",,1996,4,NBA,
85,12,1996-04-28,Miami Heat,75,Chicago Bulls,106,Box Score,https://www.basketball-reference.com/boxscores/,"24,202",,1996,4,NBA,
86,13,1996-04-28,Detroit Pistons,77,Orlando Magic,92,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,4,NBA,
87,14,1996-04-28,Phoenix Suns,105,San Antonio Spurs,110,Box Score,https://www.basketball-reference.com/boxscores/,"19,507",,1996,4,NBA,
88,15,1996-04-28,Sacramento Kings,90,Seattle SuperSonics,81,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,4,NBA,
89,16,1996-04-29,Utah Jazz,91,Portland Trail Blazers,94,Box Score,https://www.basketball-reference.com/boxscores/,"21,401",,1996,4,NBA,
90,17,1996-04-29,Indiana Pacers,83,Atlanta Hawks,90,Box Score,https://www.basketball-reference.com/boxscores/,"11,290",,1996,4,NBA,
91,18,1996-04-30,Orlando Magic,101,Detroit Pistons,98,Box Score,https://www.basketball-reference.com/boxscores/,"20,386",,1996,4,NBA,
92,19,1996-04-30,Los Angeles Lakers,98,Houston Rockets,104,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1996,4,NBA,
93,20,1996-04-30,Seattle SuperSonics,96,Sacramento Kings,89,Box Score,https://www.basketball-reference.com/boxscores/,"17,317",,1996,4,NBA,
94,21,1996-05-01,Chicago Bulls,112,Miami Heat,91,Box Score,https://www.basketball-reference.com/boxscores/,"15,200",,1996,5,NBA,
95,22,1996-05-01,Cleveland Cavaliers,76,New York Knicks,81,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1996,5,NBA,
96,23,1996-05-01,San Antonio Spurs,93,Phoenix Suns,94,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1996,5,NBA,
97,24,1996-05-01,Utah Jazz,90,Portland Trail Blazers,98,Box Score,https://www.basketball-reference.com/boxscores/,"21,401",,1996,5,NBA,
98,25,1996-05-02,Seattle SuperSonics,101,Sacramento Kings,87,Box Score,https://www.basketball-reference.com/boxscores/,"17,317",,1996,5,NBA,
99,26,1996-05-02,Los Angeles Lakers,94,Houston Rockets,102,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1996,5,NBA,
100,27,1996-05-02,Indiana Pacers,83,Atlanta Hawks,75,Box Score,https://www.basketball-reference.com/boxscores/,"15,482",,1996,5,NBA,
101,28,1996-05-03,San Antonio Spurs,116,Phoenix Suns,98,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1996,5,NBA,
102,29,1996-05-04,Houston Rockets,75,Seattle SuperSonics,108,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,5,NBA,
103,30,1996-05-05,New York Knicks,84,Chicago Bulls,91,Box Score,https://www.basketball-reference.com/boxscores/,"24,394",,1996,5,NBA,
104,31,1996-05-05,Atlanta Hawks,89,Indiana Pacers,87,Box Score,https://www.basketball-reference.com/boxscores/,"16,731",,1996,5,NBA,
105,32,1996-05-05,Portland Trail Blazers,64,Utah Jazz,102,Box Score,https://www.basketball-reference.com/boxscores/,"19,682",,1996,5,NBA,
106,33,1996-05-06,Houston Rockets,101,Seattle SuperSonics,105,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,5,NBA,
107,34,1996-05-07,Utah Jazz,95,San Antonio Spurs,75,Box Score,https://www.basketball-reference.com/boxscores/,"15,112",,1996,5,NBA,
108,35,1996-05-07,New York Knicks,80,Chicago Bulls,91,Box Score,https://www.basketball-reference.com/boxscores/,"24,328",,1996,5,NBA,
109,36,1996-05-08,Atlanta Hawks,105,Orlando Magic,117,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,5,NBA,
110,37,1996-05-09,Utah Jazz,77,San Antonio Spurs,88,Box Score,https://www.basketball-reference.com/boxscores/,"18,635",,1996,5,NBA,
111,38,1996-05-10,Seattle SuperSonics,115,Houston Rockets,112,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1996,5,NBA,
112,39,1996-05-10,Atlanta Hawks,94,Orlando Magic,120,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,5,NBA,
113,40,1996-05-11,Chicago Bulls,99,New York Knicks,102,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1996,5,NBA,
114,41,1996-05-11,San Antonio Spurs,75,Utah Jazz,105,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
115,42,1996-05-12,San Antonio Spurs,86,Utah Jazz,101,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
116,43,1996-05-12,Chicago Bulls,94,New York Knicks,91,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1996,5,NBA,
117,44,1996-05-12,Seattle SuperSonics,114,Houston Rockets,107,Box Score,https://www.basketball-reference.com/boxscores/,"16,611",,1996,5,NBA,
118,45,1996-05-12,Orlando Magic,103,Atlanta Hawks,96,Box Score,https://www.basketball-reference.com/boxscores/,"15,476",,1996,5,NBA,
119,46,1996-05-13,Orlando Magic,99,Atlanta Hawks,104,Box Score,https://www.basketball-reference.com/boxscores/,"12,645",,1996,5,NBA,
120,47,1996-05-14,New York Knicks,81,Chicago Bulls,94,Box Score,https://www.basketball-reference.com/boxscores/,"24,396",,1996,5,NBA,
121,48,1996-05-14,Utah Jazz,87,San Antonio Spurs,98,Box Score,https://www.basketball-reference.com/boxscores/,"34,215",,1996,5,NBA,
122,49,1996-05-15,Atlanta Hawks,88,Orlando Magic,96,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,5,NBA,
